3路,2798|10105|7182|2747|6502|3988|39|2879|4105|11721|235|6872|10243|3007|7314|9001|7093|2792|11763|1617|9921|1248|4362|2829|8776|11785|10799|4058|4640|5930|2522|289|3305|6255
30路,4340|5095|4279|875|4341|4901|6274|11199|3737|3622|10557|5028|4923|10698|5704|11037|2395|3548|12|10415|1162
31路,9053|10699|9842|10486|6274|11199|8095|4221|8523|1050|2891|9878|4754|7871|5191|11960|1919|11037|2395|3548|12|9518|10407|3310|7127|5591|2519|10812
32路,5265|11671|3829|11987|11749|1033|10011|1671|2468|3677|5640
33路,5265|11671|3829|3440|1345|1742|2012|7967|2129|7911|7881|7411|10985|1638|11748|1237|7874
34路,11274|10633|9696|5143|7525|11610|11258|714|1926|406|2265|4348|5298|315|5564|8666|7503|10557|3622|3737|11311|4819|9591|875|3700|6877|5095|4340
35路,2891|1050|3319|5124|10698|7912|10962|883|10077|4290|1926|714|11258|11610|7525|8615|5143|6638|3026
36路,3234|2265|2274|1085|9380|714|11258|11610|7525|8615|5143|6638|3026|11381|332|7862|8272|10859
38路,8573|881|9767|2574|8241|2943|10774|8060|9807|7979|4349|10965|4423|9908|6050|5483|865|6194
39路,10320|10498|8510|7443|3658|8403|11255|7525|9805|7339|5866|836|7038|7175|10808|5641|9203|4793
300路,1780|7582|3731|11578|5691|226|8215|10134|7718|7087|11395|482|11783|74|10416|9835|10022|206|11051|4130|7805|2086|5098|1780
300路快,8756|11783|74|10416|10230|10008|9835|10022|206|6318|11051|4784|4130|7218|7805|2086|3689|5098|3788|4133|7582|3731|11578|5691|226|8215|10134|7718|7087|3164|2824|482|8756
301路,7534|9879|10822|1759|2341|3465|3204|860|7648|11097|5724|11876|10539|10103|11588|10926|7533|827|3688|11873|8787|2500|1259
302路,547|8689|7041|2401|763|1562|5623|1674|317|7218|7805|2086|3689|5098|3788|4133|7582|3731|11578|10053|2519|10812|11495|6635|419|4914|8014
303路,5697|8617|10820|8624|10382|2676|2097|2809|794|4878|9198|5573|3051|9019|5132|2789|1603|7941|10704|4532
304路,11441|369|5045|9816|4252|2078|10512|6455|7466|4554|3671|2325|3590|7709|3977|547
305路,11720|3231|7496|2514|3001|1069|1083|6145|693|55|3081|4068|7654|507|5619|6907|1104|6904|6269|2163|3262
306路,2007|8626|7970|11053|3682|5152|4337|6542|7244|6270|6862|3643|8234|8752|440|848|9287|7221|9718|3059|4597|4629|2284|3326|4128|3510|6540|8134|11879|5517|10068|1609
307路,8797|11035|6431|533|5765|1471|10166|6399|7451|7654|4068|55|693|248|9676|6154|2694|9610|5791|11159|3946|11518|10359|5623|1667|7709|3977|547
308路,3599|11593|10063|10951|11645|11671|9405|5170|185|8586|6854|3029|9568|661|9175|9888|4202|8827|290|9722|7510|5352
309路,5689|1532|8837|9109|3898|7039|6333|9953|4373|408|929|10979|3842|7627|6194|11052
310路,4952|9029|9464|3675|3834|6945|11825|11995|7821|8837|3898|6147|4940|6345|560|866|9907|5186|2427
311路,10126|2890|8267|6974|5791|9610|2694|8151|10448|9142|5114|6159|3136|10426|9785|6652|8239|6317|4000|10947|5389|251|7176|4241|807|4834
312路,9073|2934|1168|3870|4023|11966|6440|9650|2554|7321|6641|2891|3319|5124|10698|5704|11037|11985|3960|5749
313路,312|1581|1967|2865|10397|6547|9605|7465|1561|3898|6147|6345|866|9907|2427
314路,6299|3490|11179|10771|7006|11156|7768|5195|9524|4305|9060|1504|153|219|1048|2910|6426
315路,11077|11503|10408|10155|11974|11470|7451|2514|7496|7805|7218|8532|2155
316路,6118|4443|1865|5297|4437|877|3720|8186|2056|9650|6440|5225|5703|3299|662|7578|6778|1822|6242|218|4736|11739|2008|5012|2919|62|4120
317路,9787|8186|2056|9650|6440|5225|5703|3299|662|4118|11444|8871|5097|1969|9811|9080|5402|11130|11683|11888|687|9073|2612|9567|2290|136|9530|7219|2095|7272|10903
318路,5136|7883|1023|2319|8842|9120|8698|10728|6832|2178|3683|1140|7145|6327|6125|7980|9644|5126|771|2913|5582|11491|6010|3085|6552|7573
319路,10426|3204|4355|8520|841|7707|1204|1934|7648|11097|5724|11876|11742|1053|7993|5439|3670|11719|6329|3513|5877|2364|1259
321路,10984|7353|658|3641|6813|2451|1389|9846|3362|6194
321路区间,3187|1389|9846|3362|6194
322路,1809|662|7578|7506|7674|7538|5357|4792|4419|5588
323路,118|7962|866|9907|2552|7332|6750|3635|10416|107|10230|10008|9835|9089|10022|2194|5428|8960|6318|85|4784|2709|10264|5853|413|10392|2325
324路,14|8703|1775|2302|8893|6364|8851|3557|7921|5515|7118|10092|7123|8700|2442|6204|8578|10309|9493|8838|9974|8344|5120|6664|5347|10896|4417|7064|11205|6994|10072
