#node1Id,#node2Id,buses
3446,4195,Y18路
3214,5180,926路
10790,11798,Y10路
10919,6186,949路
4570,7453,370路|373路|76路|运通120路
384,4719,H13路|H33路
4302,8802,密62路|密61路|密60路
6097,846,密34路
5752,653,兴36路
5410,9707,运通115路
11426,2098,夜18路|特14路
5859,919,940路|兴20路
7156,903,房1路
3550,5685,平24路|平23路|平22路|平21路|平42路|平41路|平35路花峪|平47路
10819,7173,929路木城涧|929路
10750,10894,平46路|平19路
7194,8849,房48路
7061,8849,房43路|房49路|房48路
10608,9286,顺13路|顺12路
5730,882,顺40路|顺39路|顺34路区间|顺28路|顺28路区间汉石桥方向|顺28路区间道口
4697,8856,专63路
6793,9210,通11路
5086,5955,专44路
10575,11,空港3路|空港1路|空港2路
3736,3830,H28路
7282,983,通27路
11960,1919,31路|专87路|138路
3658,5946,684路|128路
5612,7711,兴62路|兴63路
5778,8710,Y29路|Y30路|Y34路
3471,6488,房18路支2
3490,6299,H54路|655路|郊80路|H63路|345路快|357路|314路|快速直达专线66路
3521,4658,兴32路区间
3040,9469,通12路专线
10472,11009,空港8路
6922,7901,房11路
4575,6102,940路|954路|829路|968路|631路快|841路|842路|937路
4712,4732,房39路
348,66,房26路
4663,7879,509路|运通114路|运通112路|运通108路|518路|476路|562路|449路|362路|运通123路|328路
11761,3912,房18路支1
7980,9306,运通112路|664路
3429,6911,通10路
3229,6339,555路|快速直达专线118路|576路|453路
289,5712,387路
6088,7948,821路|976路
2105,4260,兴28路
1749,8165,专38路
4710,4757,运通111路
6099,7830,兴17路|兴35路
6988,8607,机场巴士9线
6752,9636,829路
7066,8811,598路
4323,7301,平15路|平16路
4371,8152,817路
4374,9451,945路|670路
841,8520,905路|593路|596路|464路|466路|426路|695路|430路|653路|617路|夜26路|484路|751路|319路|运通117路|特11路|984路|415路
5728,926,61路
10031,925,970路
5678,9717,960路
3482,6394,兴32路
5602,7813,876路支
3492,6299,地铁昌平线
353,3733,顺15路
2800,8294,988路|991路|快速直达专线117路|445路|401路|402路|418路
5873,7780,553路
2847,9155,M19路
10522,11854,994路|959路|941路快|977路快定班|964路|965路|890路担礼|M07路|931路|891路|890路|981路
6938,813,兴30路
2415,2482,918路关上
1869,8286,836路张坊
1969,7285,809路
1639,9253,6路
4648,6716,130路
2015,6489,Y08路
4752,5685,平24路|平23路|平22路|平42路|平41路|平35路花峪
10090,341,郊89路
6763,9522,密37路|密50路|密51路|密38路支线
4132,9220,831路
3574,4150,651路|快速直达专线35路
3467,5221,房39路
273,3202,密66路|密65路|密68路|密67路|密62路|密61路|密63路|密60路
3665,4578,976路
275,5874,329路
3208,6526,郊100路
3439,4215,856路|空港5路
3145,7155,平13路
906,923,1路|夜1路|99路|52路
4443,6118,316路
1707,9892,917路快|917路
1139,3251,842路
10799,11785,3路|夜12路|42路|46路|56路|19路
3679,5774,828路
5547,9719,H52路
194,4025,981路
3525,5983,636路
3488,7686,房12路|房19路
3677,5796,114路
344,3850,密16路
3222,6378,Y23路
5564,8215,973路
3210,6496,昌19路
3251,7398,844路|848路|937路|兴26路
5541,9790,空港8路
6832,7514,527路
4447,7423,龙湾屯1路南线
11975,11985,648路
1846,7167,H10路
1277,3195,顺42路|顺1路
2947,9462,兴14路|兴17路
11360,926,61路
3427,6973,86路|660路|特19路
5898,6218,昌51路
5858,6618,487路
5691,8288,99路
5476,9105,997路|夜15路|395路|特17路
7187,7610,H52路|H61路|970路
1421,1816,817路
10663,2839,昌58路
1697,1719,901路|906路|831路
1070,6659,659路
11692,5863,H43路|H46路|H45路|H48路|H15路区间|H16路|H15路|H29路|H31路
11975,1702,740路公益西桥|740路|657路|450路
2371,5622,专22路
11280,7325,兴22路
652,9128,地铁4号线大兴线
124,3419,678路
722,8429,565路|458路
21,8458,947路|快速直达专线85路|快速直达专线64路|679路
2252,6815,房33路|房38路|房35路|房28路
10187,612,顺48路|空港9路
10650,1620,428路
11782,4975,940路
5692,9701,密3路
134,4636,86路|特19路
1882,9520,544路
10360,5844,房34路
3591,5433,顺17路区间后岭|顺17路区间大洛泡
3787,4805,兴22路
4950,73,942路快
10541,2706,兴19路
11498,7828,兴17路
4473,9924,兴42路
3210,901,昌21路
2292,748,兴50路
1860,8401,夜10路|124路|82路|夜2路|107路
8918,9595,兴11路
205,2628,Y14路
10195,8813,兴微27路
3321,6814,地铁5号线
11596,5521,专102路
5791,8739,375路|331路|429路
11432,5834,房34路
276,3237,通7路
297,3027,房47路
226,2405,夜30路
10172,6453,682路
10031,7863,空港8路|970路
10502,1825,93路
3485,7842,905路|430路
10300,3844,910路
3678,5916,M16路
3592,5449,811路|通3路|615路|802路|582路
4570,7640,624路
1460,2715,密6路|密6路支线
177,5585,昌57路|昌57路支
10625,1913,兴16路|兴16路区间
3386,8846,开发区1路
3550,4544,平24路|平23路|平22路|平21路|平42路|平41路|平35路花峪|平47路
10071,8787,432路|夜26路|530路|快速直达专线28路
3185,9527,河北庄-朱家坟通勤班车
87,9180,密16路
4570,6324,运通120路
875,9591,34路
11273,441,开发区2路
4711,4911,459路
1680,1838,密37路|密39路|密50路|密51路|密38路支线
2160,724,房17路|房19路
5642,628,密32路|密33路|密36路|密35路|密25路
10459,4900,926路
288,3166,机场快轨
10596,4853,45路
3789,4824,Y09路
214,2573,348路|397路
10081,8677,平35路花峪
1691,1710,密6路支线
6690,9104,顺41路
6940,964,平25路
11595,6811,949路
824,8793,M19路
10671,2763,通4路
3585,6873,997路|821路|958路
3668,4716,房25路
10424,3909,831路
3004,6092,5路
4646,6912,41路
4776,5612,兴28路
10197,547,运通114路
5631,751,680路|821路|524路|665路|985路
775,9277,916路|923路|942路支
5745,944,H22路支线|H14路|H60路|H21路|H37路
11381,8961,93路
11531,4803,房15路
11781,2308,643路|专106路|643路区|昌11路区间
10663,1589,559路
1447,1636,H62路
11820,9005,855路|933路
2823,9522,密34路|密19路支线|密19路|密20路|密21路|密24路
7718,8215,快速直达专线146路
5229,9138,440路|573路
2741,9018,805路
11480,4070,H54路|郊80路|H63路|郊94路
11196,8244,专82路环线
2821,8216,密28路|密27路
2931,8446,Y12路|Y11路|Y14路|Y13路|Y19路|Y22路|Y28路|Y27路|Y29路|Y32路
11894,2596,880路
1736,8413,813路|814路|快速直达专线9路
11470,4176,592路
11822,1988,昌20路|887路
11086,8017,兴56路
11387,8999,684路|116路|夜10路|106路
11653,2348,通1路
1820,7571,兴29路
11032,9889,密39路
8823,9156,平11路
2012,7967,27路|507路|33路|481路|588路环线
10327,11285,655路|357路|昌70路
6768,8398,密17路支4|密16路
2175,6339,453路
2101,4417,736路|快速公交1线|485路|501路
9268,9676,484路
6709,675,房37路支线
6739,7356,昌22路|郊100路
6638,9696,110路|6路
10056,6322,842路|937路
1987,9897,815路
6716,7582,596路|18路
10567,2544,郊86路
1465,2773,638路|378路|513路|专72路|439路|976路|986路
11103,7850,H46路
639,9331,快速直达专线117路|851路|854路|418路
11756,3985,顺43路
11044,7113,专45路
2900,459,130路
2954,9534,通州森林公园1路
2027,7811,密62路|密61路|密60路
11031,247,顺5路
1825,8844,513路
11416,4728,房12路|房19路
11286,8689,运通108路|563路|特5路|特10路
11313,4429,H30路
9033,9374,Y12路|Y11路|Y13路|Y27路|Y32路|Y36路|Y38路
879,9585,昌20路
2066,8748,兴62路
10082,7381,370路|运通116路|运通112路|336路|992路|941路快|961路|664路|977路|981路
3131,7413,空港7路
3389,537,地铁13号线
6755,7181,949路|昌20路|昌68路|870路|655路|357路|883路|883路快|887路|昌70路
1780,9295,117路
10482,2053,郊81路
1367,3744,平28路|平45路
4694,784,Y26路
2930,8431,顺37路|顺31路区间|顺31路|顺16路
10157,7956,882路
11212,5440,房19路
648,9274,顺20路
5107,9045,73路
11256,6335,顺21路
11359,946,兴26路
2325,4820,579路
11189,9669,密27路
5205,8062,房50路|房43路|房49路|房48路
2257,6822,61路
1912,7962,395路
9145,9555,房26路
2275,6646,667路-552路联运
8833,9037,房20路|房25路
6526,8174,顺31路区间
3140,355,Y16路
10416,2700,专27路
1852,258,通46路
10697,2548,112路|115路|快速公交2线|615路|488路
2800,9720,847路
1481,2597,44路|特2路|特12路
119,2225,906路
11003,7541,房47路
11625,1321,H12路
11211,5463,904路|831路
2379,6930,619路
1751,8230,兴23路|兴24路
2364,4413,机场巴士8线
849,8578,地铁亦庄线
10255,6960,339路
1960,7479,882路|快速直达专线20路
10099,9854,运通113路|983路
10353,5981,空港2路
1155,5843,736路|959路
10241,3189,房31路
1361,3780,993路|951路|956路|835路|房27路
1110,3637,77路
536,9083,密39路
10923,7360,820路|440路|986路
11731,2850,平31路|平30路|平27路|平24路|平23路|平22路|平21路|平28路|平43路|平42路|平41路|平40路|平39路|平38路|平37路|平36路|平35路花峪|平34路|平33路|平32路|平49路|平47路|平46路|平45路|平44路|平19路
11589,6931,690路|364路
11664,4852,顺20路
11390,6264,运通111路|657路
10952,7069,运通101路快
11222,6613,M17路
11251,6324,370路|373路|337路|76路|1路|夜1路|624路|运通120路|64路
2478,5926,113路|607路|夜6路|409路|21路
10600,9253,昌3路
10449,3761,密16路
7829,8470,通34路
2395,5426,988路|夜34路
11896,3869,平24路|平23路|平22路|平42路|平41路|918路关上
10363,3290,空港3路
10099,287,26路|运通110路
1320,2850,平31路|平27路|平28路|平43路|平40路|平39路|平38路|平33路|平32路|平49路|平46路|平45路|平19路
1235,3701,Y12路|Y38路
2156,855,房48路
10241,3178,兴35路
11125,677,兴37路
1087,7844,房51路
9029,9464,385路|574路|310路|843路
10822,9690,113路
5180,83,341路
1393,3457,H14路|H60路|H21路|H37路
7629,9136,413路|418路
11830,1873,813路
11554,5964,923路
11872,2787,南彩1路
10435,3890,969路|842路
10378,3130,989路
1822,7506,648路|342路
10367,3242,房47路
1992,7138,636路
6538,8066,559路
2585,4847,13路
10453,2383,941路|运通116路|运通112路|597路|396路|489路|358路|972路|977路
2220,4507,平2路
10215,4763,926路|兴20路
1841,8643,房52路
10315,3765,805路|805路快
1361,2433,646路
11137,543,Y25路
1182,4222,夜7路
3773,4900,926路
1191,5468,兴21路延长线|兴21路
3580,5501,兴20路
9006,9663,平20路
