#nodeId,buses
1078,房36路|房36路区间
1091,兴58路|兴19路
1090,Y22路|Y35路|Y07路
9810,H45路
9811,667路-552路联运|552路|通4路|快速直达专线143路|317路|809路|589路
1099,昌22路|昌19路
1098,997路|开发区2路
1097,810路|通21路|372路|911路|通46路|通14路|802路|582路|587路
1096,房38路
1095,901路|904路|906路|房37路支线|901路快|837路区|831路|837路|房37路|房21路|房20路|房23路|房22路|房25路|房24路
1094,952路|房28路
1093,房17路|房16路|房19路|917路
1092,Y13路
9809,昌20路|519路|专66路|昌53路|887路
1089,811路|816路|817路|930路
9803,508路|地铁4号线大兴线|运通114路|594路|331路|332路|333路|运通106路|运通108路|601路|476路|563路|437路|438路|夜8路|地铁16号线|563路区间|579路|特6路|特5路|498路|584路|运通118路|特10路|636路
9804,兴56路|兴32路
9801,昌32路
9802,937路
9807,38路|88路|47路|10路|15路|夜36路
9808,945路
9805,39路|957路|958路|128路|525路|夜24路|54路|623路
9806,平2路
9821,696路
9822,顺31路区间|顺18路
9820,顺22路
9814,H43路|H46路|H45路|H48路|H47路|H15路区间|H16路|H15路|H26路|H29路|H31路
9815,兴50路
9812,816路|930路
9813,577路
9818,郊88路
9819,993路|房46路
9816,510路|645路|304路|92路|579路|16路
9817,419路|运通113路|379路|740路公益西桥|386路|740路|658路|夜26路|快速直达专线7路|660路|407路|408路|特9路|490路|特16路|983路|984路
8501,938路卓达三溪塘专线|938路
9832,昌12路
9833,昌22路|463路|607路|快速公交3线|922路
8502,H36路
9830,945路|顺11路区间豹房|顺4路|顺3路|顺36路|顺11路区间刘各庄|顺29路|923路|顺28路|924路|顺13路|顺11路|顺33路区间|顺28路区间汉石桥方向|顺28路区间道口
9831,942路|915路|359路|405路|935路
8500,12路
200,密29路
201,H14路|H60路|H21路|H37路
202,498路
203,密26路
204,兴54路|兴28路区间
205,Y14路
9825,密17路支4|密18路|密16路
206,74路|300路快|300路|特6路|快速直达专线148路
9826,816路|930路
207,运通112路|运通205路|543路
9823,551路
208,木林1路|顺16路
209,专109路
9824,专81路
9829,H22路
9827,昌68路
9828,558路|520路
9840,Y06路
8512,866路
9843,Y22路
9844,952路|房46路|房28路
8513,密67路
8510,39路|夜10路|夜19路|43路|44路|525路
9841,顺31路
9842,31路|8路|专166路
8511,863路|868路|869路
210,469路|698路|528路|539路|360路快|360路|365路|630路
211,346路|633路
212,949路
213,508路|运通109路|425路|751路|16路|635路
214,348路|397路
215,空港8路|空港5路|空港9路
216,顺3路
8505,房37路支线|房37路
9836,密65路|密62路|密63路
217,专42路
218,813路|快速直达专线54路|648-649路联运|667路-552路联运|552路|648路|通2路|通44路|通勤微60路|快速直达专线5路|667路|316路|快速直达专线69路|通52路|589路|675路
9837,690路|532路
8506,房21路|房20路|房25路|房24路
8503,通22路
9834,兴52路|兴21支路|829路
219,昌67路|872路|昌55路|878路|879路|925路|314路|昌32路
8504,988路|641路|696路|538路|942路支
9835,901路直达快车|901路|运通201路|74路|554路|莲花桥-莲花桥临线|快速直达专线130路|快速直达专线84路|473路|901路快|694路|300路快|300路|616路|快速直达专线32路|631路快|890路担礼|96路|661路|662路|快速直达专线134路|99路|843路|夜30路|977路|运通120路|快速直达专线68路|特8路|特2路|夜36路|快速直达专线148路|890路|323路|快速直达专线145路|67路
8509,地铁8号线|地铁15号线
8507,856路|顺11路区间豹房|顺46路|顺11路区间刘各庄|顺30路|顺11路
9838,房11路
8508,917路快
9839,顺35路|顺25路|942路支
9850,H06路
8520,905路|593路|596路|464路|466路|426路|昌68路|695路|430路|653路|569路|617路|夜26路|484路|751路|319路|运通117路|特11路|984路|415路
9851,平12路
9854,运通113路|579路|983路|549路
8523,31路|740路公益西桥|865路|740路|657路|快速直达专线75路|夜34路
9855,334路|469路|347路|658路|360路快|特10路
8524,顺32路
9852,921路
8521,兴29路
9853,374路|运通102路|运通103路|房48路|698路|977路快定班|437路|夜30路|977路
8522,专3路
220,通42路|Y05路
221,504路|825路|快速直达专线43路|740路
222,观光2路
223,Y16路
224,Y36路
225,专105路|专106路|889路
226,378路|300路快|300路|快速直达专线22路|976路|夜30路|846路|848路|特8路|快速直达专线146路
227,440路
228,昌22路|昌68路|昌53路|878路|922路
8516,房13路支线
9847,兴31路
8517,房50路|房15路|房14路|901路|房13路|房12路|907路|房18路|房37路支线|836路张坊|951路|952路|836路大韩继|房43路|房42路|快速直达专线86路|房41路|房46路|917路|房49路|房48路|901路快|房31路|833路|快速直达专线32路|836路|839路|房38路|房37路|971路|房28路|836路快|房15路专线
229,房17路|房16路|836路张坊|917路快|房45路|房41路|917路
9848,953路
9845,Y12路|Y13路|Y32路|Y38路
8514,962路
9846,339路|快速直达专线130路|321路区间|662路|快速直达专线3路|321路|459路|897路|983路|329路
8515,Y33路|Y01路
8518,地铁4号线大兴线
9849,平48路|平13路
8519,856路|867路|916路|郊86路|H62路|顺14路|936路
9861,508路|330路|331路|332路|346路|夜8路|579路|584路|330路快车
8530,929路木城涧|929路|892路
9862,兴53路|兴25支路
8531,顺35路|顺25路|顺13路
11061,空港1路
7200,942路支
11060,940路|926路|兴20路
9860,密10路
7202,988路|运通111路|740路公益西桥|740路|657路|特9路
8534,房15路
9865,兴21路延长线|842路|兴21路
11063,房21路|房20路|房25路|房24路
8535,Y10路|Y05路
9866,828路
11062,兴30路|842路
7201,房20路
9863,地铁10号线|地铁14号线东段
8532,运通201路|运通101路快|425路|609路|运通101路|123路|80路|695路|87路|88路|425路快车|658路|617路|94路|315路|夜30路|特8路|361路
7204,顺15路
11065,兴23路
7203,596路|专20路|夜26路|530路
9864,房2路
11064,834路
8533,密18路
230,892路
231,机场巴士8线
232,兴20路
233,昌66路|昌3路
234,密66路|密68路
235,113路|115路|118路|3路|地铁5号线|42路|夜3路|701路|13路|夜34路
236,861路|862路
237,房39路|房35路|房27路
238,密7路|密6路|密6路支线
9858,顺11路区间豹房|顺40路|顺17路区间后岭|顺4路|顺3路|顺36路|顺5路|顺39路|顺11路区间刘各庄|空港2路|顺31路区间|顺30路|顺33路|顺34路|顺31路|顺18路区间|空港8路|顺2路|顺29路|顺21路|顺11路|顺21路区间|顺17路|顺17路区间大洛泡|顺19路
8527,兴46路|兴30路
239,房38路
11067,838路直达
8528,Y28路
11066,郊88路
9859,兴23路|兴24路
9856,顺35路|顺15路
11069,顺24路
8525,939路
9857,423路|993路|646路|专97路
8526,专57路
11068,顺19路
8529,863路
9872,平1路
11070,386路
8541,通50路
9873,H42路
8542,房2路|房43路|房41路|房48路|房28路
9870,27路|运通104路|347路|44路|夜20路|618路|特12路
11072,通12路专线|通12路
7211,房20路|房25路
9871,952路|896路
7210,通州森林公园2路
8540,842路
11071,兴29路
11074,兴54路|兴28路区间
7213,539路
9876,地铁2号线
8545,平17路|平16路
9877,房15路|房18路|房2路|房42路|房41路|房35路|房34路|房37路|房28路
